Variable,SOE_Mean,Private_Mean,Difference,t_stat,p_value,Significance
lev,0.48244571089326965,0.36435269955424177,0.11809301133902789,56.30077915647977,0.0,***
npr,0.03285625932197889,0.039561893886462696,-0.006705634564483809,-10.374264237266114,3.5339363129751133e-25,***
size,23.048889105898507,21.906085192920894,1.1428039129776124,83.00716740494549,0.0,***
tang,0.2367773767351402,0.1894833586774336,0.04729401805770661,27.973825838967368,2.6211758966309047e-170,***
growth,0.10858064448275313,0.15993505540192599,-0.05135441091917285,-16.429948753706274,1.974147917318436e-60,***
ndts,0.026188759089114593,0.024446450234911436,0.0017423088542031576,9.975337142528565,2.101310894985364e-23,***
