,lev,npr,size,tang,growth,ndts,soe
lev,1.0,-0.32329525875636045,0.5171960042059264,0.07811248837868837,0.026739931723747258,0.054787401482132604,0.2890727020961886
npr,-0.32329525875636045,1.0,0.011946866962465276,-0.037221320176258975,0.25394407189998186,-0.1273679515232172,-0.05555554821418892
size,0.5171960042059264,0.011946866962465276,1.0,0.11404873421612201,0.024766429435387514,0.05349453749432867,0.40671619051159713
tang,0.07811248837868837,-0.037221320176258975,0.11404873421612201,1.0,-0.09475074158416018,0.6670148770248896,0.1483745242705638
growth,0.026739931723747258,0.25394407189998186,0.024766429435387514,-0.09475074158416018,1.0,-0.16143564928421986,-0.08778046887214312
ndts,0.054787401482132604,-0.1273679515232172,0.05349453749432867,0.6670148770248896,-0.16143564928421986,1.0,0.053425460383028235
soe,0.2890727020961886,-0.05555554821418892,0.40671619051159713,0.1483745242705638,-0.08778046887214312,0.053425460383028235,1.0
