,N,Mean,SD,Min,P10,P25,Median,P75,P90,Max
lev,22563.0,0.36435269955424177,0.183380655726997,0.0319951131289613,0.12920529039314052,0.21381792114931975,0.3524269135173459,0.4966810178878611,0.61663895938949,0.8957872944453289
npr,22563.0,0.039561893886462696,0.0622326467931966,-0.3385069283545911,-0.01854531958033412,0.015433169743389,0.041570985093783,0.0713534053300992,0.1043031681432302,0.2227419333227565
size,22563.0,21.906085192920894,1.0643532067105743,18.280555434937543,20.682555311053118,21.162558235245022,21.768271641725512,22.518692827354414,23.2913297470115,27.507417290673214
tang,22563.0,0.1894833586774336,0.1277344374877742,0.0023403168108436,0.0394395374345586,0.09021942253039925,0.168700951966338,0.267783489708616,0.36685007518303947,0.7363716038429363
growth,22563.0,0.15993505540192599,0.29759560399527646,-0.318400582149993,-0.058750315751093955,0.0112871511645895,0.0881365888747524,0.21105700883127484,0.4353782778800885,3.555872082577154
ndts,22563.0,0.024446450234911436,0.014831544530889149,0.0007731831163204,0.00826781895882662,0.0135579088550895,0.0216950098804831,0.03235495105747945,0.04402345648277656,0.0911203587759632
